cartodb_id,the_geom,rang,reseau,station,trafic,correspondance_1,correspondance_2,correspondance_3,correspondance_4,correspondance_5,ville,arrondissement_pour_paris,station_name,num_correspondances
243,,62,RER,FONTAINE-MICHALON,639164,B,,,,,Antony,,Fontaine-Michalon,1
244,,33,RER,ARCUEIL-CACHAN,3030454,B,,,,,Arcueil,,Arcueil-Cachan,1
245,,41,RER,ORSAY-VILLE,2230574,B,,,,,Orsay,,,1
246,,51,RER,LOGNES,1563658,A,,,,,Lognes,,,1
247,,60,RER,SCEAUX,701293,B,,,,,sceaux,,Sceaux,1
248,,30,Métro,CHAUSSEE D'ANTIN-LA FAYETTE,7612896,7,9,,,,Paris,9,Chaussée d'Antin - La Fayette,2
249,,34,Métro,GAMBETTA,7365448,3,3bis,,,,Paris,20,Gambetta,2
250,,33,Métro,INVALIDES,7420581,8,13,,,,Paris,7,Invalides,2
251,,58,Métro,PIGALLE,6176020,2,12,,,,Paris,18,Pigalle,2
252,,61,Métro,ODEON,6059691,4,10,,,,Paris,6,Odéon,2
253,,52,Métro,MARCADET-POISSONNIERS,6388263,4,12,,,,Paris,,Marcadet - Poissonniers,2
254,,50,Métro,PORTE DE VERSAILLES,6424182,12,,,,,Paris,15,Porte de Versailles,1
255,,47,Métro,ANVERS,6780971,2,,,,,Paris,18,Anvers,1
256,,60,Métro,SAINT-MANDE-TOURELLE,6069483,1,,,,,Saint Mandé,,,1
257,,51,Métro,PORTE DE VINCENNES,6398167,1,,,,,Paris,,Porte de Vincennes,1
258,,138,Métro,PORTE DES LILAS,3627528,3bis,11,,,,Paris,20,Porte des Lilas,2
293,,200,Métro,MARAICHERS,2807675,9,,,,,Paris,20,Maraîchers,1
294,,213,Métro,ABBESSES,2555092,12,,,,,Paris,18,Abbesses,1
295,,195,Métro,TUILERIES,2877169,1,,,,,Paris,1,Tuileries,1
296,,166,Métro,LOUVRE,3174681,1,,,,,Paris,1,,1
297,,190,Métro,BILLANCOURT,2903875,9,,,,,Boulogne Billancourt,,Billancourt,1
298,,12,Métro,CHATELET,12502708,1,4,7,11,14,Paris,1,Châtelet,5
299,,62,Métro,JAURES,5960472,2,5,7bis,,,Paris,19,Jaurès,3
300,,14,Métro,FRANKLIN D. ROOSEVELT,12053554,1,9,,,,Paris,8,Franklin D. Roosevelt,2
301,,11,Métro,HOTEL DE VILLE,12621901,1,11,,,,Paris,4,Hôtel de Ville,2
302,,19,Métro,TROCADERO,9516364,6,9,,,,Paris,16,Trocadéro,2
303,,56,Métro,VILLIERS,6257050,2,3,,,,Paris,17,Villiers,2
304,,63,Métro,MARCEL SEMBAT,5916640,9,,,,,Boulogne Billancourt,,Marcel Sembat,1
320,,144,Métro,CENSIER-DAUBENTON,3566470,7,,,,,Paris,6,Censier - Daubenton,1
321,,143,Métro,POISSONNIERE,3569568,7,,,,,Paris,10,Poissonnière,1
322,,122,Métro,CHATEAU D'EAU,3967264,4,,,,,Paris,10,Château d'Eau,1
323,,157,Métro,PASSY,3366482,6,,,,,Paris,16,Passy,1
324,,95,Métro,PONT DE SEVRES,4701284,9,,,,,Boulogne Billancourt,,Pont de Sèvres,1
325,,146,Métro,CRETEIL-UNIVERSITE,3522563,8,,,,,Créteil,,Créteil Université,1
326,,99,Métro,ECOLE MILITAIRE,4640723,8,,,,,Paris,,École Militaire,1
327,,86,Métro,PERE LACHAISE,4932986,2,3,,,,Paris,20,Père Lachaise,2
328,,82,Métro,DAUMESNIL,5140492,6,8,,,,Paris,12,Daumesnil,2
329,,64,Métro,MIROMESNIL,5841806,9,13,,,,Paris,,Miromesnil,2
348,,43,RER,LE PARC DE SAINT-MAUR,2100682,A,,,,,Saint-Maur des Fossés,,Le Parc de Saint-Maur,1
349,,39,RER,BOISSY-SAINT-LEGER,2315642,A,,,,,Boissy-Saint-Léger,,Boissy-Saint-Léger,1
351,,14,RER,RUEIL-MALMAISON,6302437,A,,,,,Rueil-Malmaison,,Rueil-Malmaison,1
352,,42,RER,SUCY-BONNEUIL,2121295,A,,,,,Sucy-en-Brie,,,1
353,,34,RER,LA CROIX DE BERNY,2975417,B,,,,,Antony,,La Croix de Berny,1
354,,54,RER,PALAISEAU,954855,B,,,,,Palaiseau,,,1
62,,186,Métro,SAINT-MAUR,2961357,3,,,,,Paris,11,Saint-Maur Créteil,1
5,,22,Métro,GARE D'AUSTERLITZ,9210572,5,10,,,,Paris,13,Gare d'Austerlitz,2
6,,37,Métro,CONCORDE,7102855,1,8,12,,,Paris,8,Concorde,3
7,,71,Métro,SEVRES-BABYLONE,5387363,10,12,,,,Paris,,Sèvres-Babylone,2
8,,27,Métro,PORTE DE CLIGNANCOURT,8663554,4,,,,,Paris,18,Porte de Clignancourt,1
9,,44,Métro,PORTE D'ORLEANS,6848088,4,,,,,Paris,14,Porte d'Orléans,1
10,,54,Métro,LA CHAPELLE,6352766,2,,,,,Paris,9,La Chapelle,1
41,,159,Métro,DUPLEIX,3347548,6,,,,,Paris,15,Dupleix,1
42,,123,Métro,OURCQ,3930609,5,,,,,Paris,19,Ourcq,1
43,,132,Métro,BOULOGNE-JEAN JAURES,3797640,10,,,,,Boulogne Billancourt,,Boulogne - Jean Jaurès,1
44,,137,Métro,EGLISE DE PANTIN,3633009,5,,,,,Pantin,,Église de Pantin,1
45,,164,Métro,GARIBALDI,3197736,13,,,,,Saint Ouen,,Garibaldi,1
46,,302,Métro,PRE-SAINT-GERVAIS,350959,7bis,,,,,Paris,19,Pré Saint-Gervais,1
47,,272,Métro,CARDINAL LEMOINE,1713765,10,,,,,Paris,5,Cardinal Lemoine,1
48,,297,Métro,CHARDON-LAGACHE,639607,10,,,,,Paris,16,Chardon Lagache,1
49,,303,Métro,EGLISE D'AUTEUIL,179058,10,,,,,Paris,16,Église d'Auteuil,1
50,,274,Métro,MONCEAU,1662955,2,,,,,Paris,17,Monceau,1
51,,287,Métro,RENNES,1272544,12,,,,,Paris,6,Rennes,1
52,,289,Métro,KLEBER,1203757,6,,,,,Paris,16,Kléber,1
53,,277,Métro,EUROPE,1585380,3,,,,,Paris,8,Europe,1
54,,9,RER,SAINT-MICHEL-NOTRE-DAME,7773356,B,,,,,Paris,,Saint-Michel Notre Dame,1
56,,197,Métro,SAINT-PHILIPPE-DU-ROULE,2840177,9,,,,,Paris,8,Saint-Philippe du Roule,1
57,,204,Métro,JAVEL-ANDRE CITROEN,2654991,10,,,,,Paris,15,Javel - André Citroën,1
130,,231,Métro,CITE,2326158,4,,,,,Paris,4,Cité,1
314,,229,Métro,IENA,2383490,9,,,,,Paris,16,Iéna,1
11,,46,Métro,CRIMEE,6800500,7,,,,,Paris,19,Crimée,1
12,,45,Métro,PONT DE NEUILLY,6823045,1,,,,,Neuilly Sur Seine,,Pont de Neuilly,1
13,,69,Métro,LES SABLONS,5500065,1,,,,,Neuilly Sur Seine,,Les Sablons,1
14,,72,Métro,CHATEAU DE VINCENNES,5365513,1,,,,,Vincennes,,Château de Vincennes,1
15,,59,Métro,CHATILLON-MONTROUGE,6109396,13,,,,,Chatillon,,Châtillon-Montrouge,1
361,,263,Métro,FELIX FAURE,1838532,8,,,,,Paris,15,Félix Faure,1
362,,273,Métro,PONT MARIE,1695690,7,,,,,Paris,4,Pont Marie,1
363,,298,Métro,DANUBE,617424,7bis,,,,,Paris,19,Danube,1
364,,256,Métro,BUZENVAL,1896837,9,,,,,Paris,20,Buzenval,1
365,,283,Métro,MIRABEAU,1390817,10,,,,,Paris,16,Mirabeau,1
366,,288,Métro,TEMPLE,1222777,3,,,,,Paris,2,Temple,1
367,,61,RER,BURES-SUR-YVETTE,662982,B,,,,,Bures sur Yvette,,,1
368,,59,RER,GIF-SUR-YVETTE,711162,B,,,,,Gif sur Yvette,,,1
16,,117,Métro,JUSSIEU,4174050,7,10,,,,Paris,5,Jussieu,2
17,,106,Métro,SAINT-GERMAIN DES PRES,4443897,4,,,,,Paris,6,Saint-Germain-des-Prés,1
18,,120,Métro,PORTE DE CLICHY,4094794,13,,,,,Paris,17,Porte de Clichy,1
340,,162,Métro,SAINT-PLACIDE,3278515,4,,,,,Paris,6,Saint-Placide,1
341,,188,Métro,ARGENTINE,2947071,1,,,,,Paris,17,Argentine,1
342,,161,Métro,PERNETY,3282156,13,,,,,Paris,14,Pernety,1
343,,182,Métro,SIMPLON,2994372,4,,,,,Paris,18,Simplon,1
344,,210,Métro,WAGRAM,2575870,3,,,,,Paris,17,Wagram,1
345,,212,Métro,CRETEIL-POINTE DU LAC,2564228,8,,,,,Créteil,,Créteil — Pointe du Lac,1
346,,184,Métro,MAIRIE D'IVRY,2975244,7,,,,,Ivry,,Mairie d'Ivry,1
347,,31,RER,PORT ROYAL,3322322,B,,,,,Paris,5,Port Royal,1
350,,28,RER,JOINVILLE-LE-PONT,3564470,A,,,,,Joinville-le-Pont,,Joinville-le-Pont,1
74,,254,Métro,AVRON,1916547,2,,,,,Paris,11,Avron,1
76,,64,RER,COURCELLE-SUR-YVETTE,566605,B,,,,,Gif sur Yvette,,,1
77,,6,Métro,REPUBLIQUE,18224965,3,5,8,9,11,Paris,11,République,5
78,,4,Métro,MONTPARNASSE-BIENVENUE,31553833,4,6,12,13,,Paris,14,Montparnasse-Bienvenüe,4
80,,1,Métro,GARE DU NORD,51316194,4,5,,,,Paris,10,Gare du Nord,2
81,,7,Métro,LES HALLES,17991605,4,,,,,Paris,1,Les Halles,1
82,,35,Métro,GRANDS BOULEVARDS,7345811,8,9,,,,Paris,9,Grands Boulevards,2
83,,65,Métro,REUILLY-DIDEROT,5808594,1,8,,,,Paris,12,Reuilly — Diderot,2
85,,98,Métro,PASTEUR,4655655,6,12,,,,Paris,9,Pasteur,2
86,,76,Métro,PORTE DE SAINT-CLOUD,5291193,9,,,,,Paris,16,Porte de Saint-Cloud,1
88,,96,Métro,MAIRIE DES LILAS,4681803,11,,,,,Les Lilas,,Mairie des Lilas,1
89,,36,Métro,MAIRIE DE CLICHY,7129195,13,,,,,Clichy,,Mairie de Clichy,1
90,,38,Métro,BIR-HAKEIM,7094930,6,,,,,Paris,,Bir-Hakeim,1
91,,55,Métro,GEORGE V,6273359,1,,,,,Paris,,George V,1
92,,4,RER,CHATELET-LES HALLES-RER,26580053,A,B,,,,Paris,1,,2
93,,19,RER,NEUILLY-PLAISANCE,5014436,A,,,,,Neuilly-sur-Seine,,Neuilly-Plaisance,1
94,,38,RER,FONTENAY-SOUS-BOIS,2469377,A,,,,,Fontenay-sous-Bois,,Fontenay-sous-Bois,1
95,,6,RER,VAL DE FONTENAY,12157778,A,,,,,Fontenay-sous-Bois,,,1
96,,30,RER,CHAMPIGNY,3432922,A,,,,,Saint-Maur des Fossés,,,1
98,,45,RER,CHATOU-CROISSY,2050458,A,,,,,Chatou,,Chatou - Croissy,1
99,,25,RER,VAL D'EUROPE,3703646,A,,,,,Serris,,,1
100,,32,RER,LAPLACE,3224399,B,,,,,Arcueil,,Laplace,1
