cartodb_id,the_geom,rang,reseau,station,trafic,correspondance_1,correspondance_2,correspondance_3,correspondance_4,correspondance_5,ville,arrondissement_pour_paris,station_name,num_correspondances
260,,127,Métro,ARTS ET METIERS,3836852,3,11,,,,Paris,3,Arts et Métiers,2
261,,129,Métro,LEDRU-ROLLIN,3830872,8,,,,,Paris,12,Ledru-Rollin,1
262,,135,Métro,MARX DORMOY,3708018,12,,,,,Paris,18,Marx Dormoy,1
263,,124,Métro,VICTOR HUGO,3870906,2,,,,,Paris,16,Victor Hugo,1
264,,153,Métro,PARMENTIER,3455199,3,,,,,Paris,11,Parmentier,1
265,,150,Métro,SENTIER,3484652,3,,,,,Paris,3,Sentier,1
266,,134,Métro,MALAKOFF-PLATEAU DE VANVES,3735305,13,,,,,Malakoff,,Malakoff - Plateau de Vanves,1
267,,145,Métro,LOUISE MICHEL,3543857,3,,,,,Levallois-Perret,,Louise Michel,1
268,,87,Métro,BONNE NOUVELLE,4932874,8,9,,,,Paris,10,Bonne Nouvelle,2
269,,75,Métro,REAUMUR-SEBASTOPOL,5326171,3,4,,,,Paris,,Réaumur - Sébastopol,2
270,,73,Métro,BERCY,5359847,6,14,,,,Paris,,Bercy,2
271,,93,Métro,PORTE DE PANTIN,4749922,5,,,,,Paris,19,Porte de Pantin,1
272,,92,Métro,PLAISANCE,4821682,13,,,,,Paris,14,Plaisance,1
273,,101,Métro,LAUMIERE,4582224,5,,,,,Paris,19,Laumière,1
274,,121,Métro,CHARONNE,3980318,9,,,,,Paris,12,Charonne,1
275,,67,Métro,LA COURNEUVE-8 MAI 1945,5665476,7,,,,,La Courneuve,,La Courneuve - 8 mai 1945,1
276,,74,Métro,MAIRIE DE MONTROUGE,5346471,4,,,,,Montrouge,,Mairie de Montrouge,1
277,,77,Métro,GABRIEL PERI,5278348,13,,,,,Asnières,,Gabriel Péri,1
278,,7,RER,CHARLES DE GAULLE-ETOILE-RER,9429351,A,,,,,Paris,17,,1
279,,295,Métro,SAINT-FARGEAU,823762,3bis,,,,,Paris,8,Saint-Fargeau,1
280,,285,Métro,SAINT-GEORGES,1286815,12,,,,,Paris,9,Saint-Georges,1
281,,1,RER,GARE DU NORD-RER,48205117,B,,,,,Paris,10,,1
282,,280,Métro,CHEMIN VERT,1488841,8,,,,,Paris,11,Chemin Vert,1
283,,17,RER,MARNE-LA-VALLEE-CHESSY,5078380,A,,,,,Montévrain,,,1
284,,279,Métro,AVENUE EMILE ZOLA,1551758,10,,,,,Paris,,Avenue Émile Zola,1
285,,18,RER,NANTERRE-UNIVERSITE,5045960,A,,,,,Nanterre,,Nanterre-Université ,1
286,,5,RER,NANTERRE-PREFECTURE,23817046,A,,,,,Nanterre,,Nanterre Préfecture,1
287,,8,RER,MASSY-PALAISEAU,8615200,B,,,,,Massy,,,1
288,,233,Métro,TRINITE-D'ESTIENNE D'ORVES,2302331,12,,,,,Paris,9,Trinité d'Estienne d'Orves,1
289,,172,Métro,LAMARCK-CAULAINCOURT,3094805,12,,,,,Paris,18,Lamarck - Caulaincourt,1
290,,219,Métro,CLUNY LA SORBONNE,2483282,10,,,,,Paris,5,Cluny - La Sorbonne,1
291,,174,Métro,PORTE DE CHOISY,3088532,7,,,,,Paris,13,Porte de Choisy,1
292,,218,Métro,RUE DU BAC,2529823,12,,,,,Paris,7,Rue du Bac,1
26,,16,RER,LUXEMBOURG,5441398,B,,,,,Paris,5,Luxembourg,1
27,,23,RER,NATION-RER,4120752,A,,,,,Paris,12,,1
28,,49,RER,LA VARENNE-CHENNEVIERES,1871804,A,,,,,saint-Maur des Fossés,,,1
29,,24,RER,SAINT-GERMAIN-EN-LAYE,4000603,A,,,,,Saint-Germain-en-Laye,,,1
30,,22,RER,BOURG-LA-REINE,4202460,B,,,,,Bourg la Reine,,Bourg-la-Reine,1
31,,47,RER,BRY-SUR-MARNE,2021786,A,,,,,Bry-sur-Marne,,Bry-sur-Marne,1
32,,11,RER,VINCENNES,6474243,A,,,,,Vincennes,,Vincennes,1
33,,48,RER,GENTILLY,1917456,B,,,,,Gentilly,,Gentilly,1
34,,57,RER,LE GUICHET,856871,B,,,,,Orsay,,,1
35,,46,RER,BAGNEUX,2034790,B,,,,,Cachan,,Bagneux,1
36,,169,Métro,CORENTIN CARIOU,3115884,7,,,,,Paris,19,Corentin Cariou,1
37,,125,Métro,VAUGIRARD,3850737,12,,,,,Paris,15,Vaugirard,1
38,,176,Métro,CHEVALERET,3055302,6,,,,,Paris,13,Chevaleret,1
39,,156,Métro,PYRENEES,3404189,11,,,,,Paris,20,Pyrénées,1
70,,259,Métro,PONT NEUF,1886611,7,,,,,Paris,4,Pont Neuf,1
152,,48,Métro,SAINT-PAUL,6591103,1,,,,,Paris,4,Saint-Paul,1
305,,17,Métro,ESPLANADE DE LA DEFENSE,9992248,1,,,,,Puteaux,,Esplanade de La Défense,1
306,,43,Métro,CHATEAU ROUGE,6879272,4,,,,,Paris,,Château Rouge,1
307,,242,Métro,MICHEL-ANGE-MOLITOR,2091229,9,10,,,,Paris,16,Michel-Ange - Molitor,2
308,,227,Métro,LOUIS BLANC,2386942,7,7bis,,,,Paris,10,Louis Blanc,2
309,,220,Métro,MAUBERT-MUTUALITE,2480448,10,,,,,Paris,5,Maubert Mutualité,1
310,,235,Métro,LE PELETIER,2258996,7,,,,,Paris,9,Le Peletier,1
311,,221,Métro,TELEGRAPHE,2465718,11,,,,,Paris,20,Télégraphe,1
312,,236,Métro,BEL AIR,2249229,6,,,,,Paris,12,Bel-Air,1
313,,223,Métro,RIQUET,2452712,7,,,,,Paris,19,Riquet,1
315,,234,Métro,FRONT POPULAIRE,2287004,12,,,,,Saint Denis / Aubervilliers,,Front Populaire,1
316,,228,Métro,LES AGNETTES,2386282,13,,,,,Asnières sur Seine,,Les Agnettes,1
317,,148,Métro,DUROC,3515234,10,13,,,,Paris,7,Duroc,2
318,,133,Métro,PORTE DE SAINT-OUEN,3776345,13,,,,,Paris,17,Porte de Saint-Ouen,1
319,,103,Métro,PORTE DE BAGNOLET,4495023,3,,,,,Paris,20,Porte de Bagnolet,1
355,,37,RER,NOISIEL,2644814,A,,,,,Noisiel,,,1
356,,26,RER,TORCY,3631640,A,,,,,Torcy,,,1
357,,291,Métro,ASSEMBLEE NATIONALE,1142259,12,,,,,Paris,7,Assemblée Nationale,1
358,,290,Métro,QUAI DE LA RAPEE,1197619,5,,,,,Paris,12,Quai de la Rapée,1
359,,296,Métro,PORTE D'AUTEUIL,682814,10,,,,,Paris,16,Porte d'Auteuil,1
360,,261,Métro,PORTE D'IVRY,1869444,7,,,,,Paris,13,Porte d'Ivry,1
